Model,Engineering,Disease,acc_e,acc_o,acc_d,acc_i,acc_x,p0_e,p0_o,p0_d,p1_e,p1_o,p1_d,p1_i,p1_x,r0_e,r0_o,r0_d,r1_e,r1_o,r1_d,r1_i,r1_x
NBClassifier,None,arthritis,0.9346445078178778,0.9587176713541155,-0.024073163536237584,-0.00047202281443601277,-0.024545186350673598,0.9589642062702046,0.9591698733978319,-0.00020566712762721818,0.02690861931620585,0.0,0.02690861931620585,0.0,0.02690861931620585,0.9734575241069487,0.9995073386020733,-0.026049814495124578,0.021091674179079475,0.0,0.021091674179079475,0.0,0.021091674179079475
NBClassifier,None,bronchitis,0.9419805290589045,0.947880814239355,-0.005900285180450426,-1.9667617268148697e-05,-0.005919952797718575,0.9488892201928977,0.9478994528270807,0.000989767365816907,0.31559469775897425,0.0,0.31559469775897425,0.0,0.31559469775897425,0.9922389365005302,0.9999792466535229,-0.007740310152992746,0.02755235697771032,0.0,0.02755235697771032,0.0,0.02755235697771032
NBClassifier,None,fracture,0.8958206313305143,0.8971973645392861,-0.001376733208771763,-0.03158619333267776,-0.03296292654144952,0.9319751651100703,0.9295722725652034,0.0024028925448669413,0.13751995351159768,0.09368231625443227,0.043837637257165406,0.09368231625443227,0.13751995351159768,0.9577258557475137,0.9621876492162686,-0.004461793468755038,0.08825769590354182,0.04928569866374971,0.038971997239792104,0.04928569866374971,0.08825769590354182
NBClassifier,None,lung_cancer,0.7117120660831939,0.5976988887796243,0.11401317730356968,-0.13350378601632415,-0.019490608712754477,0.7307978397333802,0.7614856051506249,-0.030687765417244627,0.26352823538567877,0.31929581336079116,-0.05576757797511236,-0.043467344533945705,-0.09923492250905808,0.9593197937711594,0.655388419639091,0.3039313741320683,0.03711916463348273,0.4405033166241691,-0.40338415199068633,0.4385297570111075,0.03514560502042117
NBClassifier,None,lung_infection,0.9594650408103058,0.9662503687678239,-0.006785327957517917,-0.0019077588750122886,-0.008693086832530205,0.9680431704051573,0.9681704199837764,-0.0001272495786189598,0.021127594859200394,0.021530698065601345,-0.000403103206400951,0.021530698065601345,0.021127594859200394,0.9908355471341299,0.9979474361760341,-0.007111889041904051,0.005589185439851454,0.002519230951635698,0.0030699544882157558,0.002519230951635698,0.005589185439851454
NBClassifier,None,pneumonia,0.7320090471039433,0.5842265709509293,0.14778247615301407,-0.14091847772642346,0.006863998426590623,0.7318054181859024,0.7518758211943132,-0.020070403008410766,0.7738264984258573,0.3170173758736635,0.4568091225521937,-0.12174330788702029,0.3350658146651734,0.9953032527640862,0.6369953397128938,0.35830791305119225,0.03668534467810935,0.44492890969052806,-0.40824356501241865,0.4433546094690241,0.035111044456605456
NBClassifier,None,scoliosis,0.9896154980824073,0.9300619529943948,0.05955354508801258,-0.06490313698495427,-0.005349591896941686,0.9949395572522206,0.9950259049625675,-8.634771034672361e-05,0.0,0.005302650008293902,-0.005302650008293902,0.005302650008293902,0.0,0.9946249725116265,0.9343649049145666,0.06026006759706002,0.0,0.07504958815647578,-0.07504958815647578,0.07504958815647578,0.0
NBClassifier,None,tuberculosis,0.9654439964598289,0.9491985445963221,0.016245451863506698,-0.022794768413806656,-0.006549316550299955,0.9719252299000771,0.9723043676613183,-0.0003791377612411218,0.013742071881606765,0.05629677918579139,-0.042554707304184626,0.05629677918579139,0.013742071881606765,0.993145180767943,0.9755115454897414,0.01763363527820152,0.004368512110726644,0.03560394578395126,-0.031235433673224622,0.03560394578395126,0.004368512110726644
XGBClassifier,None,arthritis,0.9644802832136887,0.9585013275641657,0.005978955649523066,-0.0003736847280951805,0.005605270921427885,0.9645196393913903,0.9588775618325771,0.0056420775588130745,0.9600133435203219,0.02857142857142857,0.9314419149488934,0.02857142857142857,0.9600133435203219,0.9997334149962324,0.9995896134624183,0.0001438015338140808,0.1429100649165577,0.0004854368932038835,0.14242462802335382,0.0004854368932038835,0.1429100649165577
XGBClassifier,None,bronchitis,0.9520503491002066,0.9466614219687285,0.00538892713147805,-0.000786704690726725,0.004602222440751325,0.9529569542827396,0.9475475933117107,0.00540936097102882,0.8275366305146112,0.13807486631016044,0.6894617642044507,0.13807486631016044,0.8275366305146112,0.9986923982211364,0.999003431442034,-0.0003110332208976496,0.11118071568643328,0.0030055447604117745,0.10817517092602151,0.0030055447604117745,0.11118071568643328
XGBClassifier,None,fracture,0.9348018487560232,0.9271904808732421,0.007611367882781028,-0.0018094207886714786,0.00580194709410955,0.9363736102681341,0.9290571672123,0.0073164430558342545,0.7832710231784092,0.0889247311827957,0.6943462919956136,0.0889247311827957,0.7832710231784092,0.9976078045994974,0.9978193641308037,-0.00021155953130620465,0.11304985662468178,0.0030425223503014152,0.11000733427438039,0.0030425223503014152,0.11304985662468178
XGBClassifier,None,lung_cancer,0.7801947094109549,0.7146228734388829,0.06557183597207192,-0.01646179565345658,0.04911004031861534,0.7949806788790574,0.7378052708248536,0.057175408054203826,0.6834690523428739,0.36308933127678245,0.3203797210660914,0.08972034731956316,0.41010006838565455,0.9426549914061522,0.9461217225528091,-0.003466731146656921,0.33754880594082404,0.08380873478875914,0.25374007115206487,0.08270866418736325,0.33644873533942815
XGBClassifier,None,lung_infection,0.9718556396892517,0.9676664372111319,0.00418920247811978,-0.0003343494935589053,0.003854852984560875,0.9718583276038888,0.9680085777487925,0.0038497498550963626,0.971304347826087,0.04,0.931304347826087,0.04,0.971304347826087,0.9998781271472355,0.9996343730445826,0.0002437541026527157,0.12392439908339899,0.0006042296072507553,0.12332016947614821,0.0006042296072507553,0.12392439908339899
