,,A. Original,,,"B. TL applied 
(image features only)",,,"C. TL applied 
(with EHR features)",,,D. Performance change B-A,,,E. Performance change C-A,,
Model,Disease,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall
Gaussian Naïve Bayes,arthritis,95.9%,0.0%,0.0%,95.9%,0.0%,0.0%,93.5%,2.7%,2.1%,-2.4%,2.7%,2.1%,-2.5%,2.7%,2.1%
,bronchitis,94.8%,0.0%,0.0%,94.8%,0.0%,0.0%,94.2%,31.6%,2.8%,-0.6%,31.6%,2.8%,-0.6%,31.6%,2.8%
,fracture,92.9%,0.0%,0.0%,89.7%,9.4%,4.9%,89.6%,13.8%,8.8%,-0.1%,4.4%,3.9%,-3.3%,13.8%,8.8%
,lung_cancer,73.1%,36.3%,0.2%,59.8%,31.9%,44.1%,71.2%,26.4%,3.7%,11.4%,-5.6%,-40.3%,-1.9%,-9.9%,3.5%
,lung_infection,96.8%,0.0%,0.0%,96.6%,2.2%,0.3%,95.9%,2.1%,0.6%,-0.7%,0.0%,0.3%,-0.9%,2.1%,0.6%
,pneumonia,72.5%,43.9%,0.2%,58.4%,31.7%,44.5%,73.2%,77.4%,3.7%,14.8%,45.7%,-40.8%,0.7%,33.5%,3.5%
,scoliosis,99.5%,0.0%,0.0%,93.0%,0.5%,7.5%,99.0%,0.0%,0.0%,6.0%,-0.5%,-7.5%,-0.5%,0.0%,0.0%
,tuberculosis,97.2%,0.0%,0.0%,94.9%,5.6%,3.6%,96.5%,1.4%,0.4%,1.6%,-4.3%,-3.1%,-0.7%,1.4%,0.4%
XGBoost,arthritis,95.9%,0.0%,0.0%,95.9%,2.9%,0.0%,96.4%,96.0%,14.3%,0.6%,93.1%,14.2%,0.6%,96.0%,14.3%
,bronchitis,94.7%,0.0%,0.0%,94.7%,13.8%,0.3%,95.2%,82.8%,11.1%,0.5%,68.9%,10.8%,0.5%,82.8%,11.1%
,fracture,92.9%,0.0%,0.0%,92.7%,8.9%,0.3%,93.5%,78.3%,11.3%,0.8%,69.4%,11.0%,0.6%,78.3%,11.3%
,lung_cancer,73.1%,27.3%,0.1%,71.5%,36.3%,8.4%,78.0%,68.3%,33.8%,6.6%,32.0%,25.4%,4.9%,41.0%,33.6%
,lung_infection,96.8%,0.0%,0.0%,96.8%,4.0%,0.1%,97.2%,97.1%,12.4%,0.4%,93.1%,12.3%,0.4%,97.1%,12.4%
,pneumonia,72.5%,55.8%,0.1%,70.3%,34.5%,9.0%,78.5%,70.7%,37.3%,8.2%,36.2%,28.4%,6.0%,14.9%,37.2%
,scoliosis,99.4%,0.0%,0.0%,99.4%,0.0%,0.0%,99.5%,100.0%,21.2%,0.1%,100.0%,21.2%,0.1%,100.0%,21.2%
,tuberculosis,97.4%,0.0%,0.0%,97.4%,3.3%,0.1%,97.9%,96.9%,19.0%,0.5%,93.6%,19.0%,0.5%,96.9%,19.0%
